,season,team,strength,TOI,goals,goals_against
0,2019,San Jose Sharks,"(5, 5)",207138,136,183
1,2019,San Jose Sharks,"(5, 4)",18144,30,6
2,2019,San Jose Sharks,"(4, 5)",22551,7,32
3,2019,San Jose Sharks,"(4, 4)",3312,1,0
4,2019,San Jose Sharks,"(3, 3)",1562,3,4
5,2019,San Jose Sharks,"(4, 3)",231,1,0
6,2019,San Jose Sharks,"(3, 4)",383,0,0
7,2019,San Jose Sharks,"(5, 3)",352,2,0
8,2019,San Jose Sharks,"(3, 5)",332,0,0
9,2019,Nashville Predators,"(5, 5)",214304,169,160
10,2019,Nashville Predators,"(5, 4)",22273,39,9
11,2019,Nashville Predators,"(4, 5)",21410,6,50
12,2019,Nashville Predators,"(4, 4)",4115,2,2
13,2019,Nashville Predators,"(3, 3)",3084,3,4
14,2019,Nashville Predators,"(4, 3)",359,1,0
15,2019,Nashville Predators,"(3, 4)",105,0,2
16,2019,Nashville Predators,"(5, 3)",694,3,0
17,2019,Nashville Predators,"(3, 5)",141,0,1
18,2019,Tampa Bay Lightning,"(5, 5)",289595,238,178
19,2019,Tampa Bay Lightning,"(5, 4)",27685,64,8
20,2019,Tampa Bay Lightning,"(4, 5)",31107,6,55
21,2019,Tampa Bay Lightning,"(4, 4)",5803,3,4
22,2019,Tampa Bay Lightning,"(3, 3)",2378,6,4
23,2019,Tampa Bay Lightning,"(4, 3)",158,0,0
24,2019,Tampa Bay Lightning,"(3, 4)",434,0,0
25,2019,Tampa Bay Lightning,"(5, 3)",230,2,0
26,2019,Tampa Bay Lightning,"(3, 5)",473,0,0
27,2019,Vegas Golden Knights,"(5, 5)",270870,203,186
28,2019,Vegas Golden Knights,"(5, 4)",24938,52,4
29,2019,Vegas Golden Knights,"(4, 5)",27102,10,54
30,2019,Vegas Golden Knights,"(4, 4)",4738,6,1
31,2019,Vegas Golden Knights,"(3, 3)",2966,6,5
32,2019,Vegas Golden Knights,"(4, 3)",415,1,0
33,2019,Vegas Golden Knights,"(3, 4)",204,0,1
34,2019,Vegas Golden Knights,"(5, 3)",227,1,0
35,2019,Vegas Golden Knights,"(3, 5)",332,0,2
36,2019,Boston Bruins,"(5, 5)",244629,173,149
37,2019,Boston Bruins,"(5, 4)",25794,62,8
38,2019,Boston Bruins,"(4, 5)",25551,6,40
39,2019,Boston Bruins,"(4, 4)",5590,5,2
40,2019,Boston Bruins,"(3, 3)",3477,4,5
41,2019,Boston Bruins,"(4, 3)",131,2,0
42,2019,Boston Bruins,"(3, 4)",110,0,0
43,2019,Boston Bruins,"(5, 3)",392,3,0
44,2019,Boston Bruins,"(3, 5)",372,0,1
45,2019,Columbus Blue Jackets,"(5, 5)",250445,158,156
46,2019,Columbus Blue Jackets,"(5, 4)",22503,31,6
47,2019,Columbus Blue Jackets,"(4, 5)",19078,3,29
48,2019,Columbus Blue Jackets,"(4, 4)",3197,2,6
49,2019,Columbus Blue Jackets,"(3, 3)",3019,6,7
50,2019,Columbus Blue Jackets,"(4, 3)",197,1,0
51,2019,Columbus Blue Jackets,"(3, 4)",383,0,3
52,2019,Columbus Blue Jackets,"(5, 3)",382,2,0
53,2019,Columbus Blue Jackets,"(3, 5)",137,0,0
54,2019,Toronto Maple Leafs,"(5, 5)",229352,185,180
55,2019,Toronto Maple Leafs,"(5, 4)",19527,43,7
56,2019,Toronto Maple Leafs,"(4, 5)",20221,6,38
57,2019,Toronto Maple Leafs,"(4, 4)",2559,5,1
58,2019,Toronto Maple Leafs,"(3, 3)",2441,4,2
59,2019,Toronto Maple Leafs,"(4, 3)",205,2,0
60,2019,Toronto Maple Leafs,"(3, 4)",734,0,1
61,2019,Toronto Maple Leafs,"(5, 3)",496,2,0
62,2019,Toronto Maple Leafs,"(3, 5)",71,0,3
63,2019,Chicago Blackhawks,"(5, 5)",234172,183,185
64,2019,Chicago Blackhawks,"(5, 4)",24039,33,9
65,2019,Chicago Blackhawks,"(4, 5)",22436,7,42
66,2019,Chicago Blackhawks,"(4, 4)",3254,3,4
67,2019,Chicago Blackhawks,"(3, 3)",2713,5,3
68,2019,Chicago Blackhawks,"(4, 3)",434,1,0
69,2019,Chicago Blackhawks,"(3, 4)",297,0,0
70,2019,Chicago Blackhawks,"(5, 3)",474,3,0
71,2019,Chicago Blackhawks,"(3, 5)",372,0,1
72,2019,Seattle Kraken,"(5, 5)",0,0,0
73,2019,Seattle Kraken,"(5, 4)",0,0,0
74,2019,Seattle Kraken,"(4, 5)",0,0,0
75,2019,Seattle Kraken,"(4, 4)",0,0,0
76,2019,Seattle Kraken,"(3, 3)",0,0,0
77,2019,Seattle Kraken,"(4, 3)",0,0,0
78,2019,Seattle Kraken,"(3, 4)",0,0,0
79,2019,Seattle Kraken,"(5, 3)",0,0,0
80,2019,Seattle Kraken,"(3, 5)",0,0,0
81,2019,Vancouver Canucks,"(5, 5)",248742,191,193
82,2019,Vancouver Canucks,"(5, 4)",28952,66,5
83,2019,Vancouver Canucks,"(4, 5)",27226,7,50
84,2019,Vancouver Canucks,"(4, 4)",4508,1,4
85,2019,Vancouver Canucks,"(3, 3)",2631,4,3
86,2019,Vancouver Canucks,"(4, 3)",338,1,0
87,2019,Vancouver Canucks,"(3, 4)",87,0,1
88,2019,Vancouver Canucks,"(5, 3)",745,2,0
89,2019,Vancouver Canucks,"(3, 5)",596,0,3
90,2019,Arizona Coyotes,"(5, 5)",234895,160,162
91,2019,Arizona Coyotes,"(5, 4)",24047,43,5
92,2019,Arizona Coyotes,"(4, 5)",22005,6,43
93,2019,Arizona Coyotes,"(4, 4)",3063,0,0
94,2019,Arizona Coyotes,"(3, 3)",3037,2,4
95,2019,Arizona Coyotes,"(4, 3)",428,1,0
96,2019,Arizona Coyotes,"(3, 4)",167,0,1
97,2019,Arizona Coyotes,"(5, 3)",224,0,0
98,2019,Arizona Coyotes,"(3, 5)",468,0,1
