,season,team,strength,TOI,goals,goals_against
0,2018,San Jose Sharks,"(5, 5)",305517,250,242
1,2018,San Jose Sharks,"(5, 4)",29438,62,11
2,2018,San Jose Sharks,"(4, 5)",28970,8,56
3,2018,San Jose Sharks,"(4, 4)",5721,8,4
4,2018,San Jose Sharks,"(3, 3)",2015,7,6
5,2018,San Jose Sharks,"(4, 3)",359,2,0
6,2018,San Jose Sharks,"(3, 4)",335,1,0
7,2018,San Jose Sharks,"(5, 3)",420,5,0
8,2018,San Jose Sharks,"(3, 5)",404,0,4
9,2018,Nashville Predators,"(5, 5)",258802,199,165
10,2018,Nashville Predators,"(5, 4)",26748,30,8
11,2018,Nashville Predators,"(4, 5)",26540,7,48
12,2018,Nashville Predators,"(4, 4)",4928,5,5
13,2018,Nashville Predators,"(3, 3)",1872,4,2
14,2018,Nashville Predators,"(4, 3)",398,0,0
15,2018,Nashville Predators,"(3, 4)",453,1,1
16,2018,Nashville Predators,"(5, 3)",726,2,0
17,2018,Nashville Predators,"(3, 5)",499,0,0
18,2018,Tampa Bay Lightning,"(5, 5)",251699,227,181
19,2018,Tampa Bay Lightning,"(5, 4)",24153,66,4
20,2018,Tampa Bay Lightning,"(4, 5)",27692,13,42
21,2018,Tampa Bay Lightning,"(4, 4)",4865,6,7
22,2018,Tampa Bay Lightning,"(3, 3)",3122,6,3
23,2018,Tampa Bay Lightning,"(4, 3)",110,1,0
24,2018,Tampa Bay Lightning,"(3, 4)",399,0,1
25,2018,Tampa Bay Lightning,"(5, 3)",676,8,0
26,2018,Tampa Bay Lightning,"(3, 5)",457,0,2
27,2018,Vegas Golden Knights,"(5, 5)",267510,203,188
28,2018,Vegas Golden Knights,"(5, 4)",25301,47,2
29,2018,Vegas Golden Knights,"(4, 5)",26336,13,48
30,2018,Vegas Golden Knights,"(4, 4)",3621,4,3
31,2018,Vegas Golden Knights,"(3, 3)",1721,3,5
32,2018,Vegas Golden Knights,"(4, 3)",287,0,0
33,2018,Vegas Golden Knights,"(3, 4)",177,0,1
34,2018,Vegas Golden Knights,"(5, 3)",507,0,0
35,2018,Vegas Golden Knights,"(3, 5)",274,0,3
36,2018,Boston Bruins,"(5, 5)",313971,223,177
37,2018,Boston Bruins,"(5, 4)",29024,83,14
38,2018,Boston Bruins,"(4, 5)",29836,9,54
39,2018,Boston Bruins,"(4, 4)",5427,7,4
40,2018,Boston Bruins,"(3, 3)",3220,7,5
41,2018,Boston Bruins,"(4, 3)",184,1,0
42,2018,Boston Bruins,"(3, 4)",597,0,1
43,2018,Boston Bruins,"(5, 3)",995,5,0
44,2018,Boston Bruins,"(3, 5)",526,0,1
45,2018,Columbus Blue Jackets,"(5, 5)",281137,225,206
46,2018,Columbus Blue Jackets,"(5, 4)",25640,37,7
47,2018,Columbus Blue Jackets,"(4, 5)",21621,9,33
48,2018,Columbus Blue Jackets,"(4, 4)",3898,3,5
49,2018,Columbus Blue Jackets,"(3, 3)",1960,6,3
50,2018,Columbus Blue Jackets,"(4, 3)",45,2,0
51,2018,Columbus Blue Jackets,"(3, 4)",146,0,0
52,2018,Columbus Blue Jackets,"(5, 3)",109,2,0
53,2018,Columbus Blue Jackets,"(3, 5)",385,0,1
54,2018,Toronto Maple Leafs,"(5, 5)",272270,238,207
55,2018,Toronto Maple Leafs,"(5, 4)",22777,47,9
56,2018,Toronto Maple Leafs,"(4, 5)",22401,5,46
57,2018,Toronto Maple Leafs,"(4, 4)",2603,4,2
58,2018,Toronto Maple Leafs,"(3, 3)",2170,6,6
59,2018,Toronto Maple Leafs,"(4, 3)",0,0,0
60,2018,Toronto Maple Leafs,"(3, 4)",165,0,1
61,2018,Toronto Maple Leafs,"(5, 3)",209,2,0
62,2018,Toronto Maple Leafs,"(3, 5)",95,0,1
63,2018,Chicago Blackhawks,"(5, 5)",246894,201,209
64,2018,Chicago Blackhawks,"(5, 4)",23118,41,7
65,2018,Chicago Blackhawks,"(4, 5)",21242,6,56
66,2018,Chicago Blackhawks,"(4, 4)",2560,4,3
67,2018,Chicago Blackhawks,"(3, 3)",3376,7,10
68,2018,Chicago Blackhawks,"(4, 3)",254,2,0
69,2018,Chicago Blackhawks,"(3, 4)",38,0,1
70,2018,Chicago Blackhawks,"(5, 3)",450,5,0
71,2018,Chicago Blackhawks,"(3, 5)",827,0,5
72,2018,Seattle Kraken,"(5, 5)",0,0,0
73,2018,Seattle Kraken,"(5, 4)",0,0,0
74,2018,Seattle Kraken,"(4, 5)",0,0,0
75,2018,Seattle Kraken,"(4, 4)",0,0,0
76,2018,Seattle Kraken,"(3, 3)",0,0,0
77,2018,Seattle Kraken,"(4, 3)",0,0,0
78,2018,Seattle Kraken,"(3, 4)",0,0,0
79,2018,Seattle Kraken,"(5, 3)",0,0,0
80,2018,Seattle Kraken,"(3, 5)",0,0,0
81,2018,Vancouver Canucks,"(5, 5)",241419,159,185
82,2018,Vancouver Canucks,"(5, 4)",25242,40,8
83,2018,Vancouver Canucks,"(4, 5)",24538,7,45
84,2018,Vancouver Canucks,"(4, 4)",3415,2,2
85,2018,Vancouver Canucks,"(3, 3)",4646,6,5
86,2018,Vancouver Canucks,"(4, 3)",390,2,0
87,2018,Vancouver Canucks,"(3, 4)",215,0,0
88,2018,Vancouver Canucks,"(5, 3)",240,1,0
89,2018,Vancouver Canucks,"(3, 5)",493,0,3
90,2018,Arizona Coyotes,"(5, 5)",242098,143,168
91,2018,Arizona Coyotes,"(5, 4)",25250,37,9
92,2018,Arizona Coyotes,"(4, 5)",22690,16,31
93,2018,Arizona Coyotes,"(4, 4)",4116,3,4
94,2018,Arizona Coyotes,"(3, 3)",2995,5,4
95,2018,Arizona Coyotes,"(4, 3)",317,2,0
96,2018,Arizona Coyotes,"(3, 4)",343,0,2
97,2018,Arizona Coyotes,"(5, 3)",680,3,0
98,2018,Arizona Coyotes,"(3, 5)",332,0,1
99,2018,New Jersey Devils,"(5, 5)",239056,160,208
100,2018,New Jersey Devils,"(5, 4)",25538,41,10
101,2018,New Jersey Devils,"(4, 5)",26096,10,37
102,2018,New Jersey Devils,"(4, 4)",3394,1,5
103,2018,New Jersey Devils,"(3, 3)",3544,3,6
104,2018,New Jersey Devils,"(4, 3)",318,1,0
105,2018,New Jersey Devils,"(3, 4)",166,0,0
106,2018,New Jersey Devils,"(5, 3)",410,3,0
107,2018,New Jersey Devils,"(3, 5)",542,0,3
108,2018,Ottawa Senators,"(5, 5)",247603,185,238
109,2018,Ottawa Senators,"(5, 4)",22202,43,8
110,2018,Ottawa Senators,"(4, 5)",21261,4,40
111,2018,Ottawa Senators,"(4, 4)",3417,2,4
112,2018,Ottawa Senators,"(3, 3)",1457,5,4
113,2018,Ottawa Senators,"(4, 3)",115,1,0
114,2018,Ottawa Senators,"(3, 4)",47,0,2
115,2018,Ottawa Senators,"(5, 3)",369,2,0
