,season,team,strength,TOI,goals,goals_against
116,2018,Ottawa Senators,"(3, 5)",208,0,3
117,2018,Florida Panthers,"(5, 5)",243722,181,208
118,2018,Florida Panthers,"(5, 4)",25406,63,13
119,2018,Florida Panthers,"(4, 5)",21255,3,37
120,2018,Florida Panthers,"(4, 4)",4020,3,3
121,2018,Florida Panthers,"(3, 3)",4017,5,5
122,2018,Florida Panthers,"(4, 3)",296,4,0
123,2018,Florida Panthers,"(3, 4)",235,0,2
124,2018,Florida Panthers,"(5, 3)",319,5,0
125,2018,Florida Panthers,"(3, 5)",671,0,4
126,2018,Washington Capitals,"(5, 5)",263281,227,199
127,2018,Washington Capitals,"(5, 4)",26434,51,6
128,2018,Washington Capitals,"(4, 5)",28110,5,53
129,2018,Washington Capitals,"(4, 4)",4163,2,1
130,2018,Washington Capitals,"(3, 3)",2662,4,4
131,2018,Washington Capitals,"(4, 3)",35,1,0
132,2018,Washington Capitals,"(3, 4)",452,0,3
133,2018,Washington Capitals,"(5, 3)",266,3,0
134,2018,Washington Capitals,"(3, 5)",440,0,2
135,2018,New York Rangers,"(5, 5)",241947,160,192
136,2018,New York Rangers,"(5, 4)",21531,44,4
137,2018,New York Rangers,"(4, 5)",26365,7,56
138,2018,New York Rangers,"(4, 4)",4276,7,4
139,2018,New York Rangers,"(3, 3)",4618,3,9
140,2018,New York Rangers,"(4, 3)",332,0,0
141,2018,New York Rangers,"(3, 4)",254,0,0
142,2018,New York Rangers,"(5, 3)",427,0,0
143,2018,New York Rangers,"(3, 5)",410,0,2
144,2018,Dallas Stars,"(5, 5)",288776,173,176
145,2018,Dallas Stars,"(5, 4)",24054,49,2
146,2018,Dallas Stars,"(4, 5)",26955,5,41
147,2018,Dallas Stars,"(4, 4)",4389,7,5
148,2018,Dallas Stars,"(3, 3)",2127,6,3
149,2018,Dallas Stars,"(4, 3)",225,1,0
150,2018,Dallas Stars,"(3, 4)",213,0,0
151,2018,Dallas Stars,"(5, 3)",384,3,0
152,2018,Dallas Stars,"(3, 5)",305,0,2
153,2018,Colorado Avalanche,"(5, 5)",270228,205,196
154,2018,Colorado Avalanche,"(5, 4)",32893,65,4
155,2018,Colorado Avalanche,"(4, 5)",30752,11,56
156,2018,Colorado Avalanche,"(4, 4)",4771,6,1
157,2018,Colorado Avalanche,"(3, 3)",2758,1,8
158,2018,Colorado Avalanche,"(4, 3)",195,2,1
159,2018,Colorado Avalanche,"(3, 4)",462,0,4
160,2018,Colorado Avalanche,"(5, 3)",502,3,0
161,2018,Colorado Avalanche,"(3, 5)",283,0,5
162,2018,Montréal Canadiens,"(5, 5)",243804,203,173
163,2018,Montréal Canadiens,"(5, 4)",22813,31,4
164,2018,Montréal Canadiens,"(4, 5)",23660,5,42
165,2018,Montréal Canadiens,"(4, 4)",4092,2,6
166,2018,Montréal Canadiens,"(3, 3)",1605,4,7
167,2018,Montréal Canadiens,"(4, 3)",331,0,0
168,2018,Montréal Canadiens,"(3, 4)",376,0,1
169,2018,Montréal Canadiens,"(5, 3)",425,0,0
170,2018,Montréal Canadiens,"(3, 5)",357,0,3
171,2018,Carolina Hurricanes,"(5, 5)",288215,213,185
172,2018,Carolina Hurricanes,"(5, 4)",28159,47,8
173,2018,Carolina Hurricanes,"(4, 5)",28011,9,59
174,2018,Carolina Hurricanes,"(4, 4)",5778,5,5
175,2018,Carolina Hurricanes,"(3, 3)",1896,5,4
176,2018,Carolina Hurricanes,"(4, 3)",370,0,0
177,2018,Carolina Hurricanes,"(3, 4)",242,0,1
178,2018,Carolina Hurricanes,"(5, 3)",872,2,0
179,2018,Carolina Hurricanes,"(3, 5)",149,0,0
180,2018,Detroit Red Wings,"(5, 5)",247020,166,200
181,2018,Detroit Red Wings,"(5, 4)",21002,36,7
182,2018,Detroit Red Wings,"(4, 5)",23447,7,55
183,2018,Detroit Red Wings,"(4, 4)",3323,2,3
184,2018,Detroit Red Wings,"(3, 3)",3978,8,5
185,2018,Detroit Red Wings,"(4, 3)",181,0,0
186,2018,Detroit Red Wings,"(3, 4)",268,0,0
187,2018,Detroit Red Wings,"(5, 3)",326,3,0
188,2018,Detroit Red Wings,"(3, 5)",274,0,1
189,2018,Anaheim Ducks,"(5, 5)",242816,148,173
190,2018,Anaheim Ducks,"(5, 4)",21312,36,10
191,2018,Anaheim Ducks,"(4, 5)",27134,5,53
192,2018,Anaheim Ducks,"(4, 4)",3136,2,4
193,2018,Anaheim Ducks,"(3, 3)",2962,5,6
194,2018,Anaheim Ducks,"(4, 3)",98,0,0
195,2018,Anaheim Ducks,"(3, 4)",202,0,1
196,2018,Anaheim Ducks,"(5, 3)",244,0,0
197,2018,Anaheim Ducks,"(3, 5)",416,0,1
198,2018,Los Angeles Kings,"(5, 5)",247351,153,188
199,2018,Los Angeles Kings,"(5, 4)",21800,29,13
200,2018,Los Angeles Kings,"(4, 5)",21996,3,48
201,2018,Los Angeles Kings,"(4, 4)",3166,2,2
202,2018,Los Angeles Kings,"(3, 3)",3123,5,2
203,2018,Los Angeles Kings,"(4, 3)",164,1,0
204,2018,Los Angeles Kings,"(3, 4)",396,0,3
205,2018,Los Angeles Kings,"(5, 3)",507,5,0
206,2018,Los Angeles Kings,"(3, 5)",341,0,3
207,2018,Calgary Flames,"(5, 5)",254122,214,166
208,2018,Calgary Flames,"(5, 4)",27995,57,9
209,2018,Calgary Flames,"(4, 5)",25758,18,50
210,2018,Calgary Flames,"(4, 4)",5379,4,6
211,2018,Calgary Flames,"(3, 3)",1421,5,3
212,2018,Calgary Flames,"(4, 3)",122,0,0
213,2018,Calgary Flames,"(3, 4)",245,0,1
214,2018,Calgary Flames,"(5, 3)",513,1,0
215,2018,Calgary Flames,"(3, 5)",630,0,4
216,2018,Pittsburgh Penguins,"(5, 5)",258356,202,182
217,2018,Pittsburgh Penguins,"(5, 4)",22570,53,15
218,2018,Pittsburgh Penguins,"(4, 5)",23191,12,42
219,2018,Pittsburgh Penguins,"(4, 4)",4763,4,0
220,2018,Pittsburgh Penguins,"(3, 3)",2869,2,8
221,2018,Pittsburgh Penguins,"(4, 3)",533,4,0
222,2018,Pittsburgh Penguins,"(3, 4)",501,0,2
223,2018,Pittsburgh Penguins,"(5, 3)",397,0,0
224,2018,Pittsburgh Penguins,"(3, 5)",389,0,3
225,2018,Winnipeg Jets,"(5, 5)",260651,198,187
226,2018,Winnipeg Jets,"(5, 4)",25457,62,6
227,2018,Winnipeg Jets,"(4, 5)",26102,11,53
228,2018,Winnipeg Jets,"(4, 4)",4193,5,6
229,2018,Winnipeg Jets,"(3, 3)",2553,7,2
230,2018,Winnipeg Jets,"(4, 3)",281,1,1
231,2018,Winnipeg Jets,"(3, 4)",140,0,1
232,2018,Winnipeg Jets,"(5, 3)",213,2,0
233,2018,Winnipeg Jets,"(3, 5)",372,0,3
234,2018,Philadelphia Flyers,"(5, 5)",243083,188,207
235,2018,Philadelphia Flyers,"(5, 4)",24478,39,11
236,2018,Philadelphia Flyers,"(4, 5)",22749,4,49
237,2018,Philadelphia Flyers,"(4, 4)",3987,4,4
238,2018,Philadelphia Flyers,"(3, 3)",2325,5,7
239,2018,Philadelphia Flyers,"(4, 3)",310,1,0
240,2018,Philadelphia Flyers,"(3, 4)",91,0,0
241,2018,Philadelphia Flyers,"(5, 3)",7,0,0
242,2018,Philadelphia Flyers,"(3, 5)",799,0,2
243,2018,Buffalo Sabres,"(5, 5)",246703,167,205
244,2018,Buffalo Sabres,"(5, 4)",23503,43,9
245,2018,Buffalo Sabres,"(4, 5)",21466,3,40
246,2018,Buffalo Sabres,"(4, 4)",3247,0,6
247,2018,Buffalo Sabres,"(3, 3)",3567,5,7
248,2018,Buffalo Sabres,"(4, 3)",627,2,0
249,2018,Buffalo Sabres,"(3, 4)",179,0,1
250,2018,Buffalo Sabres,"(5, 3)",161,1,0
251,2018,Buffalo Sabres,"(3, 5)",208,0,0
252,2018,St. Louis Blues,"(5, 5)",322179,232,209
253,2018,St. Louis Blues,"(5, 4)",30814,62,10
254,2018,St. Louis Blues,"(4, 5)",28445,4,53
255,2018,St. Louis Blues,"(4, 4)",5236,8,4
256,2018,St. Louis Blues,"(3, 3)",3357,5,6
257,2018,St. Louis Blues,"(4, 3)",266,0,1
258,2018,St. Louis Blues,"(3, 4)",167,1,1
259,2018,St. Louis Blues,"(5, 3)",385,1,0
260,2018,St. Louis Blues,"(3, 5)",476,0,5
261,2018,Minnesota Wild,"(5, 5)",242564,151,175
262,2018,Minnesota Wild,"(5, 4)",24151,44,4
263,2018,Minnesota Wild,"(4, 5)",23482,5,42
264,2018,Minnesota Wild,"(4, 4)",4432,2,5
265,2018,Minnesota Wild,"(3, 3)",2185,3,4
266,2018,Minnesota Wild,"(4, 3)",355,1,0
267,2018,Minnesota Wild,"(3, 4)",234,0,1
268,2018,Minnesota Wild,"(5, 3)",217,4,0
269,2018,Minnesota Wild,"(3, 5)",466,0,1
270,2018,New York Islanders,"(5, 5)",270820,192,159
271,2018,New York Islanders,"(5, 4)",24931,33,1
272,2018,New York Islanders,"(4, 5)",22930,6,42
273,2018,New York Islanders,"(4, 4)",4627,1,3
274,2018,New York Islanders,"(3, 3)",3237,5,1
275,2018,New York Islanders,"(4, 3)",377,2,0
276,2018,New York Islanders,"(3, 4)",105,0,2
277,2018,New York Islanders,"(5, 3)",655,3,0
278,2018,New York Islanders,"(3, 5)",631,0,2
279,2018,Edmonton Oilers,"(5, 5)",246118,161,193
280,2018,Edmonton Oilers,"(5, 4)",21071,46,7
281,2018,Edmonton Oilers,"(4, 5)",23774,10,57
282,2018,Edmonton Oilers,"(4, 4)",3799,3,2
283,2018,Edmonton Oilers,"(3, 3)",2434,8,6
284,2018,Edmonton Oilers,"(4, 3)",130,0,0
285,2018,Edmonton Oilers,"(3, 4)",162,0,0
286,2018,Edmonton Oilers,"(5, 3)",309,1,0
287,2018,Edmonton Oilers,"(3, 5)",261,0,5
