,season,team,strength,TOI,goals,goals_against
0,2016,San Jose Sharks,"(5, 5)",264069,172,155
1,2016,San Jose Sharks,"(5, 4)",26698,40,8
2,2016,San Jose Sharks,"(4, 5)",23100,6,41
3,2016,San Jose Sharks,"(4, 4)",2965,4,0
4,2016,San Jose Sharks,"(3, 3)",1910,4,6
5,2016,San Jose Sharks,"(4, 3)",568,3,0
6,2016,San Jose Sharks,"(3, 4)",79,0,1
7,2016,San Jose Sharks,"(5, 3)",743,3,0
8,2016,San Jose Sharks,"(3, 5)",121,0,1
9,2016,Nashville Predators,"(5, 5)",305242,219,196
10,2016,Nashville Predators,"(5, 4)",30613,52,6
11,2016,Nashville Predators,"(4, 5)",28837,11,49
12,2016,Nashville Predators,"(4, 4)",6131,5,4
13,2016,Nashville Predators,"(3, 3)",3320,2,7
14,2016,Nashville Predators,"(4, 3)",463,2,0
15,2016,Nashville Predators,"(3, 4)",488,1,1
16,2016,Nashville Predators,"(5, 3)",1005,6,0
17,2016,Nashville Predators,"(3, 5)",839,0,3
18,2016,Tampa Bay Lightning,"(5, 5)",239101,154,157
19,2016,Tampa Bay Lightning,"(5, 4)",25360,59,8
20,2016,Tampa Bay Lightning,"(4, 5)",24933,4,43
21,2016,Tampa Bay Lightning,"(4, 4)",4782,4,6
22,2016,Tampa Bay Lightning,"(3, 3)",3269,6,4
23,2016,Tampa Bay Lightning,"(4, 3)",656,1,0
24,2016,Tampa Bay Lightning,"(3, 4)",469,0,4
25,2016,Tampa Bay Lightning,"(5, 3)",319,2,0
26,2016,Tampa Bay Lightning,"(3, 5)",399,0,1
27,2016,Vegas Golden Knights,"(5, 5)",0,0,0
28,2016,Vegas Golden Knights,"(5, 4)",0,0,0
29,2016,Vegas Golden Knights,"(4, 5)",0,0,0
30,2016,Vegas Golden Knights,"(4, 4)",0,0,0
31,2016,Vegas Golden Knights,"(3, 3)",0,0,0
32,2016,Vegas Golden Knights,"(4, 3)",0,0,0
33,2016,Vegas Golden Knights,"(3, 4)",0,0,0
34,2016,Vegas Golden Knights,"(5, 3)",0,0,0
35,2016,Vegas Golden Knights,"(3, 5)",0,0,0
36,2016,Boston Bruins,"(5, 5)",258050,166,167
37,2016,Boston Bruins,"(5, 4)",25061,51,6
38,2016,Boston Bruins,"(4, 5)",28829,11,42
39,2016,Boston Bruins,"(4, 4)",6386,6,4
40,2016,Boston Bruins,"(3, 3)",2255,4,4
41,2016,Boston Bruins,"(4, 3)",278,1,0
42,2016,Boston Bruins,"(3, 4)",209,0,0
43,2016,Boston Bruins,"(5, 3)",583,4,0
44,2016,Boston Bruins,"(3, 5)",467,0,1
45,2016,Columbus Blue Jackets,"(5, 5)",260908,189,161
46,2016,Columbus Blue Jackets,"(5, 4)",22138,43,3
47,2016,Columbus Blue Jackets,"(4, 5)",24327,9,40
48,2016,Columbus Blue Jackets,"(4, 4)",6000,7,2
49,2016,Columbus Blue Jackets,"(3, 3)",2792,9,4
50,2016,Columbus Blue Jackets,"(4, 3)",98,1,0
51,2016,Columbus Blue Jackets,"(3, 4)",246,0,2
52,2016,Columbus Blue Jackets,"(5, 3)",251,0,0
53,2016,Columbus Blue Jackets,"(3, 5)",211,0,2
54,2016,Toronto Maple Leafs,"(5, 5)",262788,189,186
55,2016,Toronto Maple Leafs,"(5, 4)",24727,54,7
56,2016,Toronto Maple Leafs,"(4, 5)",25590,6,47
57,2016,Toronto Maple Leafs,"(4, 4)",4687,4,2
58,2016,Toronto Maple Leafs,"(3, 3)",3839,5,7
59,2016,Toronto Maple Leafs,"(4, 3)",311,2,0
60,2016,Toronto Maple Leafs,"(3, 4)",383,0,1
61,2016,Toronto Maple Leafs,"(5, 3)",730,5,0
62,2016,Toronto Maple Leafs,"(3, 5)",826,0,1
63,2016,Chicago Blackhawks,"(5, 5)",261584,187,159
64,2016,Chicago Blackhawks,"(5, 4)",23702,42,7
65,2016,Chicago Blackhawks,"(4, 5)",21021,1,43
66,2016,Chicago Blackhawks,"(4, 4)",3748,5,5
