,season,team,strength,TOI,goals,goals_against
0,2017,San Jose Sharks,"(5, 5)",273956,197,195
1,2017,San Jose Sharks,"(5, 4)",28111,58,3
2,2017,San Jose Sharks,"(4, 5)",25045,7,39
3,2017,San Jose Sharks,"(4, 4)",4919,3,5
4,2017,San Jose Sharks,"(3, 3)",3378,5,7
5,2017,San Jose Sharks,"(4, 3)",335,0,0
6,2017,San Jose Sharks,"(3, 4)",252,0,0
7,2017,San Jose Sharks,"(5, 3)",558,5,0
8,2017,San Jose Sharks,"(3, 5)",579,0,3
9,2017,Nashville Predators,"(5, 5)",275137,211,169
10,2017,Nashville Predators,"(5, 4)",28402,60,5
11,2017,Nashville Predators,"(4, 5)",32185,11,57
12,2017,Nashville Predators,"(4, 4)",6181,8,7
13,2017,Nashville Predators,"(3, 3)",4721,4,4
14,2017,Nashville Predators,"(4, 3)",592,0,0
15,2017,Nashville Predators,"(3, 4)",112,0,0
16,2017,Nashville Predators,"(5, 3)",952,6,0
17,2017,Nashville Predators,"(3, 5)",456,0,4
18,2017,Tampa Bay Lightning,"(5, 5)",289468,239,191
19,2017,Tampa Bay Lightning,"(5, 4)",30884,77,5
20,2017,Tampa Bay Lightning,"(4, 5)",29142,9,67
21,2017,Tampa Bay Lightning,"(4, 4)",5522,7,8
22,2017,Tampa Bay Lightning,"(3, 3)",2444,4,2
23,2017,Tampa Bay Lightning,"(4, 3)",694,2,0
24,2017,Tampa Bay Lightning,"(3, 4)",471,0,2
25,2017,Tampa Bay Lightning,"(5, 3)",763,2,0
26,2017,Tampa Bay Lightning,"(3, 5)",786,0,7
27,2017,Vegas Golden Knights,"(5, 5)",301877,234,194
28,2017,Vegas Golden Knights,"(5, 4)",30409,62,5
29,2017,Vegas Golden Knights,"(4, 5)",29850,8,53
30,2017,Vegas Golden Knights,"(4, 4)",4375,6,8
31,2017,Vegas Golden Knights,"(3, 3)",3562,8,3
32,2017,Vegas Golden Knights,"(4, 3)",275,0,0
33,2017,Vegas Golden Knights,"(3, 4)",236,0,1
34,2017,Vegas Golden Knights,"(5, 3)",579,2,0
35,2017,Vegas Golden Knights,"(3, 5)",511,0,3
36,2017,Boston Bruins,"(5, 5)",277537,214,179
37,2017,Boston Bruins,"(5, 4)",27353,68,11
38,2017,Boston Bruins,"(4, 5)",27969,10,46
39,2017,Boston Bruins,"(4, 4)",4758,5,1
40,2017,Boston Bruins,"(3, 3)",3691,6,8
41,2017,Boston Bruins,"(4, 3)",12,0,0
42,2017,Boston Bruins,"(3, 4)",137,0,1
43,2017,Boston Bruins,"(5, 3)",664,5,0
44,2017,Boston Bruins,"(3, 5)",219,0,2
45,2017,Columbus Blue Jackets,"(5, 5)",267881,196,172
46,2017,Columbus Blue Jackets,"(5, 4)",24667,41,8
47,2017,Columbus Blue Jackets,"(4, 5)",23334,5,57
48,2017,Columbus Blue Jackets,"(4, 4)",4143,2,6
49,2017,Columbus Blue Jackets,"(3, 3)",3764,8,3
50,2017,Columbus Blue Jackets,"(4, 3)",634,1,0
51,2017,Columbus Blue Jackets,"(3, 4)",239,0,1
52,2017,Columbus Blue Jackets,"(5, 3)",155,1,0
