,season,team,strength,TOI,goals,goals_against
93,2020,Arizona Coyotes,"(4, 4)",2479,1,4
94,2020,Arizona Coyotes,"(3, 3)",2007,2,2
95,2020,Arizona Coyotes,"(4, 3)",13,0,0
96,2020,Arizona Coyotes,"(3, 4)",344,0,2
97,2020,Arizona Coyotes,"(5, 3)",251,1,0
98,2020,Arizona Coyotes,"(3, 5)",311,0,1
99,2020,New Jersey Devils,"(5, 5)",169559,112,138
100,2020,New Jersey Devils,"(5, 4)",15361,21,5
101,2020,New Jersey Devils,"(4, 5)",14603,3,42
102,2020,New Jersey Devils,"(4, 4)",1846,4,1
103,2020,New Jersey Devils,"(3, 3)",2004,4,2
104,2020,New Jersey Devils,"(4, 3)",460,0,0
105,2020,New Jersey Devils,"(3, 4)",60,0,0
106,2020,New Jersey Devils,"(5, 3)",248,1,0
107,2020,New Jersey Devils,"(3, 5)",35,0,1
108,2020,Ottawa Senators,"(5, 5)",164837,115,143
109,2020,Ottawa Senators,"(5, 4)",17205,25,5
110,2020,Ottawa Senators,"(4, 5)",17244,7,35
111,2020,Ottawa Senators,"(4, 4)",1787,3,1
112,2020,Ottawa Senators,"(3, 3)",1925,3,4
113,2020,Ottawa Senators,"(4, 3)",0,0,0
114,2020,Ottawa Senators,"(3, 4)",0,0,0
115,2020,Ottawa Senators,"(5, 3)",345,2,0
116,2020,Ottawa Senators,"(3, 5)",182,0,1
117,2020,Florida Panthers,"(5, 5)",180546,144,122
118,2020,Florida Panthers,"(5, 4)",20697,42,5
119,2020,Florida Panthers,"(4, 5)",17579,5,42
120,2020,Florida Panthers,"(4, 4)",4236,1,3
121,2020,Florida Panthers,"(3, 3)",2692,8,3
122,2020,Florida Panthers,"(4, 3)",361,2,0
123,2020,Florida Panthers,"(3, 4)",142,0,0
124,2020,Florida Panthers,"(5, 3)",46,1,0
125,2020,Florida Panthers,"(3, 5)",228,0,0
126,2020,Washington Capitals,"(5, 5)",182208,149,132
127,2020,Washington Capitals,"(5, 4)",17319,38,7
128,2020,Washington Capitals,"(4, 5)",18507,2,30
129,2020,Washington Capitals,"(4, 4)",2945,2,2
130,2020,Washington Capitals,"(3, 3)",2154,4,3
