,season,team,strength,TOI,goals,goals_against
0,2021,San Jose Sharks,"(5, 5)",247311,157,203
1,2021,San Jose Sharks,"(5, 4)",20964,38,11
2,2021,San Jose Sharks,"(4, 5)",22068,4,32
3,2021,San Jose Sharks,"(4, 4)",4434,4,4
4,2021,San Jose Sharks,"(3, 3)",2645,5,10
5,2021,San Jose Sharks,"(4, 3)",508,1,0
6,2021,San Jose Sharks,"(3, 4)",112,0,0
7,2021,San Jose Sharks,"(5, 3)",213,2,0
8,2021,San Jose Sharks,"(3, 5)",284,0,1
9,2021,Nashville Predators,"(5, 5)",251212,192,191
10,2021,Nashville Predators,"(5, 4)",24927,64,6
11,2021,Nashville Predators,"(4, 5)",27449,2,60
12,2021,Nashville Predators,"(4, 4)",5244,6,3
13,2021,Nashville Predators,"(3, 3)",2954,5,5
14,2021,Nashville Predators,"(4, 3)",108,1,0
15,2021,Nashville Predators,"(3, 4)",406,0,1
16,2021,Nashville Predators,"(5, 3)",417,1,0
17,2021,Nashville Predators,"(3, 5)",835,0,5
18,2021,Tampa Bay Lightning,"(5, 5)",304182,252,206
19,2021,Tampa Bay Lightning,"(5, 4)",32433,72,8
20,2021,Tampa Bay Lightning,"(4, 5)",31315,8,59
21,2021,Tampa Bay Lightning,"(4, 4)",6978,5,7
22,2021,Tampa Bay Lightning,"(3, 3)",3345,8,2
23,2021,Tampa Bay Lightning,"(4, 3)",619,3,0
24,2021,Tampa Bay Lightning,"(3, 4)",473,0,3
25,2021,Tampa Bay Lightning,"(5, 3)",501,3,0
26,2021,Tampa Bay Lightning,"(3, 5)",529,0,2
27,2021,Vegas Golden Knights,"(5, 5)",250650,205,183
28,2021,Vegas Golden Knights,"(5, 4)",21158,37,7
29,2021,Vegas Golden Knights,"(4, 5)",19829,10,47
30,2021,Vegas Golden Knights,"(4, 4)",2674,3,3
31,2021,Vegas Golden Knights,"(3, 3)",3488,5,4
32,2021,Vegas Golden Knights,"(4, 3)",256,0,0
33,2021,Vegas Golden Knights,"(3, 4)",88,0,0
